source_region,target_region,precision,recall,f1,iou,miou,oa
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.2m), 0.8055, 0.5866, 0.6789, 0.5138, 0.6741, 0.8591
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.5m), 0.7339, 0.6165, 0.6701, 0.5039, 0.7113, 0.9249
Hokkaido Iburi-Tobu, Lombok, 0.1192, 0.6123, 0.1995, 0.1108, 0.4787, 0.8494
Hokkaido Iburi-Tobu, Longxi River (SAT), 0.6758, 0.0104, 0.0206, 0.0104, 0.4612, 0.9122
Hokkaido Iburi-Tobu, Longxi River (UAV), 0.5059, 0.1020, 0.1698, 0.0928, 0.4716, 0.8528
Hokkaido Iburi-Tobu, Mengdong Township, 0.5863, 0.2477, 0.3483, 0.2109, 0.5525, 0.8971
Hokkaido Iburi-Tobu, Moxi town (UAV-0.2m), 0.4681, 0.6292, 0.5369, 0.3669, 0.5718, 0.8022
Hokkaido Iburi-Tobu, Moxi town (UAV-1m), 0.2716, 0.6786, 0.3879, 0.2406, 0.5404, 0.8478
Hokkaido Iburi-Tobu, Moxitaidi (SAT), 0.3839, 0.3398, 0.3605, 0.2199, 0.5656, 0.9135
Hokkaido Iburi-Tobu, Moxitaidi (UAV-0.6m), 0.3476, 0.2826, 0.3118, 0.1847, 0.5249, 0.8691
Hokkaido Iburi-Tobu, Moxitaidi (UAV-1m), 0.2895, 0.4641, 0.3565, 0.2169, 0.5407, 0.8693
Hokkaido Iburi-Tobu, palu, 0.0983, 0.3580, 0.1542, 0.0836, 0.5179, 0.9524
